Date Time,NO (Invitado1),NO2 (Invitado1),NOx (Invitado1)
07/17/26 03:21,65.142,122.75,187.892
07/17/26 03:22,64.983,122.65,187.667
07/17/26 03:23,64.842,122.653,187.47
07/17/26 03:24,64.708,122.7,187.375
07/17/26 03:25,64.573,122.75,187.3
07/17/26 03:26,64.375,123.108,187.508
07/17/26 03:27,64.3,123.275,187.605
07/17/26 03:28,64.208,123.375,187.608
07/17/26 03:29,64.122,123.523,187.665
07/17/26 03:30,64.1,123.65,187.725
07/17/26 03:31,64.023,123.672,187.672
07/17/26 03:32,64.033,123.475,187.533
07/17/26 03:33,64.033,123.018,187.085
07/17/26 03:34,64,122.875,186.875
07/17/26 03:35,64,122.692,186.772
07/17/26 03:36,64.092,122.567,186.642
07/17/26 03:37,64.022,122.525,186.492
07/17/26 03:38,64,122.575,186.575
07/17/26 03:39,64.077,122.577,186.62
07/17/26 03:40,64.217,122.55,186.767
07/17/26 03:41,64.275,122.43,186.763
07/17/26 03:42,64.2,122.575,186.783
07/17/26 03:43,64.278,122.55,186.828
07/17/26 03:44,64.333,122.7,187.033
07/17/26 03:45,64.325,122.543,186.922
07/17/26 03:46,64.383,122.483,186.9
07/17/26 03:47,64.2,122.903,187.103
07/17/26 03:48,64.308,123.008,187.35
07/17/26 03:49,64.5,122.942,187.422
07/17/26 03:50,64.5,122.875,187.375
07/17/26 03:51,64.578,122.747,187.35
07/17/26 03:52,64.692,122.858,187.533
07/17/26 03:53,64.783,122.845,187.573
07/17/26 03:54,64.933,122.358,187.292
07/17/26 03:55,64.925,122.3,187.225
07/17/26 03:56,65,122.35,187.35
07/17/26 03:57,65.058,122.5,187.577
07/17/26 03:58,65.1,122.475,187.575
07/17/26 03:59,65.1,122.512,187.578
07/17/26 04:00,65.125,122.617,187.775
07/17/26 04:01,65.18,122.807,188.012
07/17/26 04:02,65.233,122.875,188.117
07/17/26 04:03,65.122,123.157,188.273
07/17/26 04:04,65.042,123.317,188.35
07/17/26 04:05,65.137,123.347,188.45
07/17/26 04:06,65.2,123.375,188.633
07/17/26 04:07,65.277,123.25,188.517
07/17/26 04:08,65.183,123.192,188.375
07/17/26 04:09,65.202,122.953,188.122
07/17/26 04:10,65.358,122.583,187.942
07/17/26 04:11,65.458,122.487,187.945
07/17/26 04:12,65.442,122.467,187.908
07/17/26 04:13,65.452,122.507,187.983
07/17/26 04:14,65.367,122.667,188.008
07/17/26 04:15,65.38,122.768,188.148
07/17/26 04:16,65.317,122.958,188.267
07/17/26 04:17,65.18,123.048,188.25
07/17/26 04:18,65.142,123.167,188.308
07/17/26 04:19,65.075,123.19,188.265
07/17/26 04:20,64.933,123.142,188.108
07/17/26 04:21,64.888,123.257,188.12
07/17/26 04:22,64.783,123.3,188.1
07/17/26 04:23,64.777,123.173,187.973
07/17/26 04:24,64.65,123.158,187.808
07/17/26 04:25,64.497,122.918,187.44
07/17/26 04:26,64.4,122.983,187.367
07/17/26 04:27,64.322,122.955,187.275
07/17/26 04:28,64.275,122.933,187.208
07/17/26 04:29,64.2,122.768,187.002
07/17/26 04:30,64.017,122.858,186.908
07/17/26 04:31,63.922,122.925,186.9
07/17/26 04:32,63.9,123,186.9
07/17/26 04:33,63.945,123.092,187.037
07/17/26 04:34,64,122.917,186.917
07/17/26 04:35,64.058,122.685,186.743
07/17/26 04:36,64.192,122.575,186.767
07/17/26 04:37,64.283,122.475,186.733
07/17/26 04:38,64.367,122.458,186.842
07/17/26 04:39,64.458,122.518,187.018
07/17/26 04:40,64.525,122.4,186.958
07/17/26 04:41,64.678,122.545,187.203
07/17/26 04:42,64.733,122.742,187.442
07/17/26 04:43,64.857,122.88,187.742
07/17/26 04:44,64.9,122.9,187.808
07/17/26 04:45,64.978,122.817,187.795
07/17/26 04:46,65.025,122.708,187.733
