Date Time,Serial,Act O3,Target O3
 , ,PPB,PPB
07/16/26 01:58, ,40.,40.
07/16/26 02:00, ,39.,40.
07/16/26 02:02, ,40.,40.
07/16/26 02:04, ,40.,40.
07/16/26 02:06, ,40.,40.
07/16/26 02:08, ,40.,40.
07/16/26 02:10, ,40.,40.
07/16/26 02:12, ,40.,40.
07/16/26 02:14, ,40.,40.
07/16/26 02:16, ,41.,40.
07/16/26 02:18, ,40.,40.
07/16/26 02:20, ,40.,40.
07/16/26 02:22, ,40.,40.
07/16/26 02:24, ,40.,40.
07/16/26 02:26, ,40.,40.
07/16/26 02:28, ,41.,40.
07/16/26 02:30, ,41.,40.
07/16/26 02:32, ,40.,40.
07/16/26 02:34, ,40.,40.
07/16/26 02:36, ,40.,40.
07/16/26 02:38, ,40., 
07/16/26 02:40, ,40.,40.
07/16/26 02:42, ,40.,40.
07/16/26 02:44, ,40.,40.
07/16/26 02:46, ,40.,40.
07/16/26 02:48, ,41.,40.
07/16/26 02:50, ,40.,40.
07/16/26 02:52, ,40.,40.
07/16/26 02:54, ,40.,40.
07/16/26 02:56, ,40.,40.
07/16/26 02:58, ,40.,40.
07/16/26 03:00, ,40.,40.
_, , , 
Min, , , 
Date, ,07/15,07/15
Time, ,14:00,14:00
Max, ,181,180
Date, ,07/15,07/15
Time, ,16:40,15:02
AVG, , , 
Num, ,391,391
STD, ,30996.6,30996.7
